"name","type","dia_chi_cha"
"Hà Nội","0",""
"Ba Đình","3","Hà Nội"
"Hoàn Kiếm","3","Hà Nội"
"Tây Hồ","3","Hà Nội"
"Long Biên","3","Hà Nội"
"Cầu Giấy","3","Hà Nội"
"Đống Đa","3","Hà Nội"
"Hai Bà Trưng","3","Hà Nội"
"Hoàng Mai","3","Hà Nội"
"Thanh Xuân","3","Hà Nội"
"Hà Đông","3","Hà Nội"
"Sơn Tây","7","Hà Nội"
"Ba Vì","7","Hà Nội"
"Chương Mỹ","7","Hà Nội"
"Đan Phượng","7","Hà Nội"
"Đông Anh","7","Hà Nội"
"Gia Lâm","7","Hà Nội"
"Hoài Đức","7","Hà Nội"
"Mê Linh","7","Hà Nội"
"Mỹ Đức","7","Hà Nội"
"Phú Xuyên","7","Hà Nội"
"Phúc Thọ","7","Hà Nội"
"Quốc Oai","7","Hà Nội"
"Sóc Sơn","7","Hà Nội"
"Thạch Thất","7","Hà Nội"
"Thanh Oai","7","Hà Nội"
"Thanh Trì","7","Hà Nội"
"Thường Tín","7","Hà Nội"
"Từ Liêm","3","Hà Nội"
"Ứng Hòa","7","Hà Nội"
"Cống Vị ","1","Ba Đình"
"Điện Biên ","1","Ba Đình"
"Đội Cấn","1","Ba Đình"
"Giảng Võ","1","Ba Đình"
"Kim Mã ","1","Ba Đình"
"Liễu Giai ","1","Ba Đình"
"Ngọc Hà ","1","Ba Đình"
"Ngọc Khánh ","1","Ba Đình"
"Nguyễn Trung Trực ","1","Ba Đình"
"Phúc Xá ","1","Ba Đình"
"Quán Thánh ","1","Ba Đình"
"Thành Công ","1","Ba Đình"
"Trúc Bạch ","1","Ba Đình"
"Vĩnh Phúc","1","Ba Đình"
"Dịch Vọng ","1","Cầu Giấy"
"Dịch Vọng Hậu ","1","Cầu Giấy"
"Mai Dịch ","1","Cầu Giấy"
"Nghĩa Đô ","1","Cầu Giấy"
"Nghĩa Tân ","1","Cầu Giấy"
"Quan Hoa ","1","Cầu Giấy"
"Trung Hoà","1","Cầu Giấy"
"Yên Hoà","1","Cầu Giấy"
"Cát Linh ","1","Đống Đa"
"Hàng Bột ","1","Đống Đa"
"Khâm Thiên ","1","Đống Đa"
"Khương Thượng ","1","Đống Đa"
"Kim Liên ","1","Đống Đa"
"Láng Hạ ","1","Đống Đa"
"Láng Thượng ","1","Đống Đa"
"Nam Đồng ","1","Đống Đa"
"Ngã Tư Sở ","1","Đống Đa"
"Ô Chợ Dừa ","1","Đống Đa"
"Phương Liên ","1","Đống Đa"
"Phương Mai ","1","Đống Đa"
"Quang Trung ","1","Đống Đa"
"Quốc Tử Giám ","1","Đống Đa"
"Thịnh Quang ","1","Đống Đa"
"Thổ Quan ","1","Đống Đa"
"Trung Liệt ","1","Đống Đa"
"Trung Phụng ","1","Đống Đa"
"Trung Tự ","1","Đống Đa"
"Văn Chương ","1","Đống Đa"
"Văn Miếu","1","Đống Đa"
"Phường Biên Giang","1","Hà Đông"
"Dương Nội","1","Hà Đông"
"Phường Đồng Mai","1","Hà Đông"
"Hà Cầu","1","Hà Đông"
"Kiến Hưng","1","Hà Đông"
"La Khê","1","Hà Đông"
"Mộ Lao","1","Hà Đông"
"Phú La","1","Hà Đông"
"Phú Lãm","1","Hà Đông"
"Phú Lương","1","Hà Đông"
"Phúc La","1","Hà Đông"
"Quang Trung","1","Hà Đông"
"Văn Khê","1","Hà Đông"
"Văn Quán","1","Hà Đông"
"Vạn Phúc","1","Hà Đông"
"Yên Nghĩa","1","Hà Đông"
"Yết Kiêu","1","Hà Đông"
"Bạch Đằng","1","Hai Bà Trưng"
"Bách Khoa","1","Hai Bà Trưng"
"Bạch Mai","1","Hai Bà Trưng"
"Bùi Thị Xuân","1","Hai Bà Trưng"
"Cầu Dền","1","Hai Bà Trưng"
"Đống Mác","1","Hai Bà Trưng"
"Đồng Nhân","1","Hai Bà Trưng"
"Đồng Tâm","1","Hai Bà Trưng"
"Lê Đại Hành","1","Hai Bà Trưng"
"Ngô Thì Nhậm","1","Hai Bà Trưng"
"Nguyễn Du","1","Hai Bà Trưng"
"Phạm Đình Hổ","1","Hai Bà Trưng"
"Phố Huế","1","Hai Bà Trưng"
"Thanh Lương","1","Hai Bà Trưng"
"Thanh Nhàn","1","Hai Bà Trưng"
"Trương Định","1","Hai Bà Trưng"
"Vĩnh Tuy","1","Hai Bà Trưng"
"bỏ-Phường Nam Đồng","1","Đống Đa"
"Nhật Tân","1","Tây Hồ"
"TP Hồ Chí Minh","0",""
"Quận 1","3","TP Hồ Chí Minh"
"Quận 2","3","TP Hồ Chí Minh"
"Đà Nẵng","0",""
"Sơn La","0",""
"Yên Bái","0",""
"Lạng Sơn","0",""
"Hải Phòng","0",""
"Tuyên Quang","0",""
"Quảng Trị","0",""
"Bắc Giang","0",""
"Hải Dương","0",""
"Cần Thơ","0",""
"Hà Nam","0",""
"Lào Cai","0",""
"Nam Định","0",""
"Bình Thuận","0",""
"Đông Ngạc","1","Từ Liêm"
"Hưng Yên","0",""
"Quảng Bình","0",""
"Quảng Ninh","0",""
"Nghệ An","0",""
"Dia chi sai","3","Đồng Nai"
"Đồng Nai","0",""
"Tiền Giang","0",""
"Bình Định","0",""
"Vĩnh Phúc","0",""
"Hà Giang","0",""
"Khánh Hòa","0",""
"Định Công","1","Hoàng Mai"
"An Giang","0",""
"Bà Rịa - Vũng Tàu","0",""
"Bắc Kạn","0",""
"Bạc Liêu","0",""
"Bắc Ninh","0",""
"Bến Tre","0",""
"Bình Dương","0",""
"Bình Phước","0",""
"Cà Mau","0",""
"Cao Bằng","0",""
"Đắk Lắk","0",""
"Đắk Nông","0",""
"Điện Biên","0",""
"Đồng Tháp","0",""
"Gia Lai","0",""
"Hà Tĩnh","0",""
"Hậu Giang","0",""
"Hòa Bình","0",""
"Kiên Giang","0",""
"Kon Tum","0",""
"Lai Châu","0",""
"Lâm Đồng","0",""
"Long An","0",""
"Ninh Bình","0",""
"Ninh Thuận","0",""
"Phú Thọ","0",""
"Quảng Nam","0",""
"Quảng Ngãi","0",""
"Sóc Trăng","0",""
"Tây Ninh","0",""
"Thái Bình","0",""
"Thái Nguyên","0",""
"Thanh Hóa","0",""
"Thừa Thiên Huế","0",""
"Trà Vinh","0",""
"Vĩnh Long","0",""
"Phú Yên","0",""
"Bỏ_STT_Đỗ Ngọc Du","1","Hai Bà Trưng"
"Nhân Chính","1","Thanh Xuân"
"Hoàng Văn Thụ","1","Hoàng Mai"
"Quận 3","3","TP Hồ Chí Minh"
"Quận 4","3","TP Hồ Chí Minh"
"Quận 5","3","TP Hồ Chí Minh"
"Quận 6","3","TP Hồ Chí Minh"
"Quận 7","3","TP Hồ Chí Minh"
"Quận 8","3","TP Hồ Chí Minh"
"Quận 9","3","TP Hồ Chí Minh"
"Quận 10","3","TP Hồ Chí Minh"
"Quận 11","3","TP Hồ Chí Minh"
"Quận 12","3","TP Hồ Chí Minh"
"Quận Tân Bình","3","TP Hồ Chí Minh"
"Quận Tân Phú","3","TP Hồ Chí Minh"
"Quận Phú Nhuận","3","TP Hồ Chí Minh"
"Quận Gò Vấp","3","TP Hồ Chí Minh"
"Quận Bình Thạnh","3","TP Hồ Chí Minh"
"Quận Thủ Đức","3","TP Hồ Chí Minh"
"Quận Bình Tân","3","TP Hồ Chí Minh"
"Huyện Hóc Môn","7","TP Hồ Chí Minh"
"Huyện Nhà Bè","7","TP Hồ Chí Minh"
"Huyện Bình Chánh","7","TP Hồ Chí Minh"
"Quận Thanh Khê","3","Đà Nẵng"
"Quận Cẩm Lệ","3","Đà Nẵng"
"Quận Hải Châu","3","Đà Nẵng"
"Quận Ngũ Hành Sơn","3","Đà Nẵng"
"Quận Sơn Trà","3","Đà Nẵng"
"Quận Liên Chiểu","3","Đà Nẵng"
"Thủ Dầu Một","3","Bình Dương"
"Thị Xã Thuận An","7","Bình Dương"
"Thị Xã Dĩ An","7","Bình Dương"
"Thị Xã Bến Cát","3","Bình Dương"
"Thị Xã Tân Uyên","7","Bình Dương"
"Huyện Bàu Bàng","7","Bình Dương"
"Quận Hồng Bàng","3","Hải Phòng"
"Quận Ngô Quyền","3","Hải Phòng"
"Quận Lê Chân","3","Hải Phòng"
"Quận Hải An","3","Hải Phòng"
"Quận Kiến An","3","Hải Phòng"
"Huyện Củ Chi","7","TP Hồ Chí Minh"
"Huyện Cần Giờ","7","TP Hồ Chí Minh"
"Thị trấn Tân Túc","1","Huyện Bình Chánh"
"Xã An Phú Tây","1","Huyện Bình Chánh"
"Xã Bình Chánh","1","Huyện Bình Chánh"
"Xã Bình Hưng","1","Huyện Bình Chánh"
"Xã Bình Lợi","1","Huyện Bình Chánh"
"Xã Đa Phước","1","Huyện Bình Chánh"
"Xã Hưng Long","1","Huyện Bình Chánh"
"Xã Lê Minh Xuân","1","Huyện Bình Chánh"
