1,Ha Nội
2,Hồ Chí Minh
3,Đà Nẵng
4,Bắc Giang
5,Bắc Kan
6,Bắc Ninh
7,Cao Bằng
8,Điện Biên
9,Hà Giang
10,Hà Nam
11,Hải Dương
12,Hải Phòng
13,Hoà Bình
14,Hưng Yên
15,Lai Châu
16,Lạng Sơn
17,Lào Cai
18,Nam Định
19,Ninh Bình
20,Phú Thọ
21,Quảng Ninh
22,Sơn La
23,Thái Bình
24,Thái Nguyên
25,Tuyên Quang
26,Vĩnh Phúc
27,Yên Bái
28,Bình Định
29,Đắk Lắk
30,Đắk Nông
31,Gia Lai
32,Hà Tỉnh
33,Khánh Hoà
34,Kon Tum
35,Nghệ An
36,Phú Yên
37,Quảng Bình
38,Quảng Nam
40,Quãng Ngãi
41,Quãng Trị
42,Thanh Hoá
43,Thừa Thiên Huế
44,An Giang
45,Bà Rịa - Vũng Tàu
46,Bạc Liêu
47,Bến Tre
48,Bình Dương
49,Bình Phước
50,Bình Thuận
51,Cà Mau
52,Cần Thơ
53,Đồng Nai
54,Đồng Tháp
55,Hậu Giang
56,Kiên Giang
57,Lâm Đồng
58,Long An
59,Ninh Thuận
60,Sóc Trăng
61,Tây Ninh
62,Tiền Giang
63,Trà Vinh
64,Vĩnh Long
